Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1997,23,OAK,AL,26,104,-7,2,0,-3,2,-6,-0.6,4,-2,-0.2,0.477,0.496,0,-0.1,0,"$150,000 ",6/H,
1998,24,OAK,AL,105,407,-13,-1,1,-11,6,-18,-1.6,15,-2,-0.2,0.484,0.49,0.8,-0.4,8,"$172,000 ",6/H,
1999,25,OAK,AL,159,674,-3,1,0,6,9,13,1.3,25,39,3.6,0.508,0.508,3.2,1.4,33,"$230,000 ",*6/H,
2000,26,OAK,AL,160,681,12,2,-1,-3,9,19,1.8,26,45,4.2,0.511,0.511,4.5,0.7,48,"$290,000 ",*6/H,MVP-16
2001,27,OAK,AL,162,683,8,1,0,-1,9,17,1.7,26,42,4.2,0.51,0.51,4.2,0.9,43,"$2,025,000 ",*6,MVP-19
2002,28,OAK,AL,162,715,26,4,0,-6,9,33,3.2,26,59,5.7,0.52,0.52,6.3,0.3,65,"$3,625,000 ",*6/H,ASMVP-1
2003,29,OAK,AL,162,703,13,4,3,-4,9,24,2.4,26,51,4.9,0.514,0.514,5.3,0.5,54,"$5,125,000 ",*6,MVP-11
2004,30,BAL,AL,162,725,34,4,-1,5,9,50,4.9,26,77,7.4,0.529,0.529,6.8,1.5,72,"$5,000,000 ",*6,ASMVP-5SS
2005,31,BAL,AL,162,704,25,1,-4,4,8,34,3.4,26,60,5.9,0.521,0.521,5.5,1.3,56,"$11,000,000 ",*6/D,ASMVP-15SS
2006,32,BAL,AL,162,709,24,1,0,-11,7,20,2.1,25,46,4.5,0.512,0.512,5.6,-0.3,57,"$11,811,415 ",*6D,ASMVP-20
2007,33,BAL,AL,133,569,6,-1,-2,-6,6,3,0.3,21,24,2.3,0.502,0.502,2.9,0.1,30,"$13,811,415 ",*6/DH,
2008,34,HOU,NL,158,666,-10,-1,-3,6,8,1,-0.1,21,22,1.9,0.501,0.501,1.4,1.4,16,"$14,811,414 ",*6/H,AS
2009,35,HOU,NL,158,674,10,0,-4,-15,8,-1,-0.2,21,20,1.9,0.5,0.5,3.4,-0.7,35,"$14,811,414 ",*6,ASMVP-23
2010,36,BAL,AL,97,428,-12,0,-1,-9,2,-20,-2,15,-5,-0.5,0.478,0.487,0.4,-0.7,4,"$6,000,000 ",5/D,
2010,36,SDP,NL,59,253,2,-1,2,-2,3,5,0.4,8,12,1.2,0.508,0.503,1.4,0.1,14,,5-Jun,
2011,37,SFG,NL,91,343,-13,-1,1,3,3,-7,-0.8,11,4,0.2,0.491,0.495,-0.1,0.7,0,"$6,500,000 ",56/H4,
,,,,,,,,,,,,,,,,,,,,,,,
2013,39,KCR,AL,53,167,-1,-1,-1,-1,1,-4,-0.3,6,2,0.3,0.493,0.498,0.3,0.1,3,"$1,100,000 ",45H/3D,